# dimensionless total [l(l+1)/2pi] C_l's
# for l=2 to 3000, i.e. number of multipoles equal to 2999
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
  123       4.547183453808e-10       1.384149409764e-13      -4.937601044618e-12       0.000000000000e+00       6.200949140877e-12       9.859392661897e-13      -5.949775318254e-15 
  124       4.592225333767e-10       1.394339140620e-13      -5.007626056949e-12       0.000000000000e+00       6.064533914834e-12       9.687564585501e-13      -5.867763871324e-15 
  125       4.637347034863e-10       1.403953594178e-13      -5.076041866495e-12       0.000000000000e+00       5.932128148098e-12       9.519964752831e-13      -5.783403330609e-15 
  126       4.682535352985e-10       1.412981662585e-13      -5.142774493114e-12       0.000000000000e+00       5.803510726928e-12       9.356434448876e-13      -5.697823919081e-15 
  127       4.727776005740e-10       1.421412657082e-13      -5.207749913229e-12       0.000000000000e+00       5.678427530983e-12       9.196781845492e-13      -5.612225985795e-15 
  128       4.773053604992e-10       1.429236321644e-13      -5.270894087855e-12       0.000000000000e+00       5.556590620858e-12       9.040781144842e-13      -5.527881346778e-15 
  129       4.818353289899e-10       1.436443293042e-13      -5.332134351591e-12       0.000000000000e+00       5.437740126933e-12       8.888224848092e-13      -5.445888129582e-15 
  130       4.863665886903e-10       1.443026509113e-13      -5.391403692337e-12       0.000000000000e+00       5.321839317713e-12       8.739088863779e-13      -5.366402051995e-15 
  131       4.908983266539e-10       1.448979981474e-13      -5.448636996217e-12       0.000000000000e+00       5.208899494967e-12       8.593383977637e-13      -5.289322955104e-15 
  132       4.954296718250e-10       1.454298379627e-13      -5.503769766090e-12       0.000000000000e+00       5.098918850425e-12       8.451103879239e-13      -5.214533321566e-15 
  133       4.999596934812e-10       1.458977047787e-13      -5.556738159318e-12       0.000000000000e+00       4.991882101998e-12       8.312224685581e-13      -5.141897852657e-15 
  134       5.044873996753e-10       1.463012021723e-13      -5.607479025530e-12       0.000000000000e+00       4.887760129981e-12       8.176704464677e-13      -5.071263045313e-15 
  135       5.090117356771e-10       1.466400045591e-13      -5.655929944386e-12       0.000000000000e+00       4.786509613272e-12       8.044482759154e-13      -5.002456769182e-15 
  136       5.135315824164e-10       1.469138588770e-13      -5.702029263343e-12       0.000000000000e+00       4.688072665578e-12       7.915480109838e-13      -4.935287843668e-15 
  137       5.180457549244e-10       1.471225862699e-13      -5.745716135420e-12       0.000000000000e+00       4.592376471630e-12       7.789597579348e-13      -4.869545614978e-15 
